InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
574672,22751,FELTCRAFT PRINCESS OLIVIA DOLL,1,2011-11-06 12:25:00,3.75,13532.0,United Kingdom
571475,23509,MINI PLAYING CARDS FUN FAIR ,5,2011-10-17 14:42:00,0.42,15033.0,United Kingdom
576837,23291,DOLLY GIRL CHILDRENS CUP,3,2011-11-16 15:16:00,2.46,,United Kingdom
550911,22630,DOLLY GIRL LUNCH BOX,12,2011-04-21 13:11:00,1.95,12354.0,Spain
568047,23312,VINTAGE CHRISTMAS GIFT SACK,8,2011-09-23 12:27:00,4.15,15075.0,United Kingdom
575477,23565,EGG CUP MILKMAID HELGA ,1,2011-11-09 16:14:00,2.46,,United Kingdom
540026,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,1,2011-01-04 13:25:00,2.13,,United Kingdom
581246,82494L,WOODEN FRAME ANTIQUE WHITE ,1,2011-12-08 10:59:00,2.95,15453.0,United Kingdom
549542,22754,SMALL RED BABUSHKA NOTEBOOK ,2,2011-04-10 11:11:00,0.85,15311.0,United Kingdom
538349,22729,ALARM CLOCK BAKELIKE ORANGE,1,2010-12-10 14:59:00,7.62,,United Kingdom
570488,22642,SET OF 4 NAPKIN CHARMS STARS   ,2,2011-10-10 17:12:00,4.96,14096.0,United Kingdom
579301,23343,JUMBO BAG VINTAGE CHRISTMAS ,2,2011-11-29 11:32:00,2.08,18118.0,United Kingdom
537374,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,4,2010-12-06 12:55:00,3.75,17259.0,United Kingdom
536987,22304,COFFEE MUG BLUE PAISLEY DESIGN,1,2010-12-03 14:54:00,2.55,17198.0,United Kingdom
566873,22027,TEA PARTY BIRTHDAY CARD,12,2011-09-15 13:31:00,0.42,12682.0,France
563613,22487,WHITE WOOD GARDEN PLANT LADDER,1,2011-08-18 08:49:00,9.95,12688.0,Israel
546122,84751B,BLACK MEDIUM GLASS CAKE STAND,4,2011-03-09 14:32:00,3.75,15581.0,United Kingdom
542890,21733,RED HANGING HEART T-LIGHT HOLDER,1,2011-02-01 13:25:00,2.95,15311.0,United Kingdom
567170,23082,SET 6 PAPER TABLE LANTERN HEARTS ,2,2011-09-18 12:40:00,3.75,13566.0,United Kingdom
557278,22558,CLOTHES PEGS RETROSPOT PACK 24 ,12,2011-06-19 12:08:00,1.65,13089.0,United Kingdom
C537406,22926,IVORY GIANT GARDEN THERMOMETER,-4,2010-12-06 14:53:00,5.95,15502.0,United Kingdom
576071,23501,KEY RING BASEBALL BOOT UNION JACK,2,2011-11-13 16:03:00,1.25,18069.0,United Kingdom
545333,22930,BAKING MOULD HEART MILK CHOCOLATE,1,2011-03-01 16:22:00,4.96,,United Kingdom
553476,22855,FINE WICKER HEART ,12,2011-05-17 11:41:00,1.25,14221.0,United Kingdom
545530,21936,RED RETROSPOT PICNIC BAG,5,2011-03-03 13:45:00,2.95,17416.0,United Kingdom
545071,22301,COFFEE MUG CAT + BIRD DESIGN,6,2011-02-27 15:59:00,2.55,15996.0,United Kingdom
574074,23568,EGG CUP HENRIETTA HEN CREAM ,1,2011-11-02 15:33:00,2.46,,United Kingdom
538351,22726,ALARM CLOCK BAKELIKE GREEN,9,2010-12-10 15:17:00,8.47,,United Kingdom
568135,21098,CHRISTMAS TOILET ROLL,1,2011-09-23 17:04:00,2.46,,United Kingdom
546317,20972,PINK CREAM FELT CRAFT TRINKET BOX ,12,2011-03-11 09:07:00,1.25,14913.0,United Kingdom
545653,22613,PACK OF 20 SPACEBOY NAPKINS,5,2011-03-04 13:39:00,0.85,15311.0,United Kingdom
545424,21034,REX CASH+CARRY JUMBO SHOPPER,4,2011-03-02 14:34:00,0.95,,United Kingdom
538250,22472,TV DINNER TRAY DOLLY GIRL,1,2010-12-10 12:20:00,4.95,18118.0,United Kingdom
549989,23184,BULL DOG BOTTLE OPENER,6,2011-04-13 16:58:00,4.95,13221.0,United Kingdom
553897,22595,GINGHAM HEART DECORATION,12,2011-05-19 17:23:00,0.85,14911.0,EIRE
568716,DCGSSBOY,BOYS PARTY BAG,2,2011-09-28 16:13:00,3.29,,United Kingdom
561515,20902,VINTAGE KEEPSAKE BOX PARIS DAYS,2,2011-07-27 15:16:00,4.13,,United Kingdom
538353,37449,CERAMIC CAKE STAND + HANGING CAKES,16,2010-12-10 15:31:00,8.5,13798.0,United Kingdom
554068,21071,VINTAGE BILLBOARD DRINK ME MUG,12,2011-05-22 10:53:00,1.25,16690.0,United Kingdom
536874,22083,PAPER CHAIN KIT RETROSPOT,1,2010-12-03 11:35:00,2.95,16891.0,United Kingdom
580729,23245,SET OF 3 REGENCY CAKE TINS,3,2011-12-05 17:24:00,10.79,,United Kingdom
562553,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,1,2011-08-05 16:34:00,5.79,,United Kingdom
559745,23068,ALUMINIUM STAMPED HEART,8,2011-07-12 11:15:00,2.49,17790.0,United Kingdom
541870,84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,5,2011-01-24 09:39:00,2.46,,United Kingdom
546126,35611B,thrown away,-27,2011-03-09 14:52:00,0.0,,United Kingdom
561863,47480,HANGING PHOTO CLIP ROPE LADDER,24,2011-07-31 10:40:00,1.65,17695.0,United Kingdom
543166,22722,SET OF 6 SPICE TINS PANTRY DESIGN,4,2011-02-04 08:27:00,3.95,13488.0,United Kingdom
562968,20977,36 PENCILS TUBE WOODLAND,16,2011-08-11 10:55:00,1.25,14291.0,United Kingdom
564837,23014,GLASS APOTHECARY BOTTLE ELIXIR,1,2011-08-30 12:40:00,8.29,,United Kingdom
552053,22133,PINK LOVE HEART SHAPE CUP,12,2011-05-06 10:16:00,0.85,16153.0,United Kingdom
556302,22311,OFFICE MUG WARMER BLACK+SILVER ,96,2011-06-10 10:24:00,2.55,15267.0,United Kingdom
567310,21465,PINK FLOWER CROCHET FOOD COVER,2,2011-09-19 13:45:00,3.75,15504.0,United Kingdom
548749,22175,PINK OWL SOFT TOY,6,2011-04-04 12:29:00,2.95,13004.0,United Kingdom
536784,22752,SET 7 BABUSHKA NESTING BOXES,72,2010-12-02 15:20:00,7.65,15061.0,United Kingdom
550712,21579,LOLITA  DESIGN  COTTON TOTE BAG,6,2011-04-20 11:06:00,2.25,15159.0,United Kingdom
544599,22726,ALARM CLOCK BAKELIKE GREEN,1,2011-02-21 18:15:00,3.75,,United Kingdom
571824,21680,WOODLAND  STICKERS,12,2011-10-19 11:49:00,0.85,12472.0,Germany
544159,22193,RED DINER WALL CLOCK,2,2011-02-16 12:48:00,8.5,14944.0,United Kingdom
577078,22726,ALARM CLOCK BAKELIKE GREEN,1,2011-11-17 15:17:00,7.46,,United Kingdom
560305,22382,LUNCH BAG SPACEBOY DESIGN ,1,2011-07-18 10:49:00,1.65,16511.0,United Kingdom
556905,21901,"KEY FOB , BACK DOOR ",1,2011-06-15 13:05:00,0.65,16904.0,United Kingdom
561915,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,6,2011-08-01 11:23:00,1.25,14408.0,United Kingdom
580469,22600,CHRISTMAS RETROSPOT STAR WOOD,2,2011-12-04 12:32:00,0.85,14583.0,United Kingdom
568531,21181,PLEASE ONE PERSON METAL SIGN,2,2011-09-27 13:49:00,2.1,16713.0,United Kingdom
578541,22895,SET OF 2 TEA TOWELS APPLE AND PEARS,4,2011-11-24 15:01:00,3.25,14277.0,France
548492,21935,SUKI  SHOULDER BAG,5,2011-03-31 13:14:00,1.65,17841.0,United Kingdom
553345,20725,LUNCH BAG RED RETROSPOT,10,2011-05-16 12:53:00,1.65,16729.0,United Kingdom
579777,47590B,PINK HAPPY BIRTHDAY BUNTING,1,2011-11-30 15:13:00,10.79,,United Kingdom
541289,22659,LUNCH BOX I LOVE LONDON,1,2011-01-17 13:23:00,1.95,14606.0,United Kingdom
562789,23345, DOLLY GIRL BEAKER,1,2011-08-09 13:50:00,1.25,14646.0,Netherlands
554668,47566,PARTY BUNTING,8,2011-05-25 15:19:00,4.95,18226.0,United Kingdom
567675,23199,JUMBO BAG APPLES,2,2011-09-21 15:54:00,2.08,15351.0,United Kingdom
575787,22899,CHILDREN'S APRON DOLLY GIRL ,6,2011-11-11 11:18:00,2.1,12518.0,Germany
544672,22984,CARD GINGHAM ROSE ,72,2011-02-22 15:45:00,0.36,14646.0,Netherlands
551687,22704,WRAP RED APPLES ,200,2011-05-03 13:22:00,0.34,14135.0,United Kingdom
544724,85152,HAND OVER THE CHOCOLATE   SIGN ,24,2011-02-23 10:46:00,2.1,15605.0,United Kingdom
550819,21977,PACK OF 60 PINK PAISLEY CAKE CASES,1,2011-04-20 17:37:00,0.55,17530.0,United Kingdom
558058,23286,BLUE VINTAGE SPOT BEAKER,8,2011-06-24 15:00:00,0.85,14766.0,United Kingdom
567666,21787,RAIN PONCHO RETROSPOT,24,2011-09-21 15:23:00,0.85,12520.0,Germany
545653,21244,BLUE POLKADOT PLATE ,2,2011-03-04 13:39:00,1.69,15311.0,United Kingdom
547964,37501,TEA TIME TEA SET IN GIFT BOX,1,2011-03-28 15:45:00,5.79,,United Kingdom
576644,22697,GREEN REGENCY TEACUP AND SAUCER,6,2011-11-16 10:01:00,5.79,,United Kingdom
580527,23301,GARDENERS KNEELING PAD KEEP CALM ,2,2011-12-04 15:19:00,1.65,13736.0,United Kingdom
570685,72800D,4 BLUE DINNER CANDLES SILVER FLOCK,1,2011-10-11 16:25:00,2.55,13208.0,United Kingdom
565440,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,12,2011-09-04 14:06:00,4.95,12709.0,Germany
580399,21115,ROSE CARAVAN DOORSTOP,2,2011-12-04 11:45:00,1.95,13471.0,United Kingdom
572066,21137,BLACK RECORD COVER FRAME,12,2011-10-20 13:07:00,3.75,15159.0,United Kingdom
552891,84789,ENCHANTED BIRD PLANT CAGE,4,2011-05-12 10:45:00,3.75,14681.0,United Kingdom
539039,85199S,SMALL HANGING IVORY/RED WOOD BIRD,72,2010-12-15 15:00:00,0.42,13124.0,United Kingdom
574945,22111,SCOTTIE DOG HOT WATER BOTTLE,3,2011-11-08 08:18:00,4.95,15434.0,United Kingdom
566717,22692,DOORMAT WELCOME TO OUR HOME,1,2011-09-14 12:14:00,8.25,17841.0,United Kingdom
548325,16259,PIECE OF CAMO STATIONERY SET,108,2011-03-30 13:01:00,0.21,13509.0,United Kingdom
552229,22308,TEA COSY BLUE STRIPE,1,2011-05-06 15:40:00,4.96,,United Kingdom
567901,85032B,BLOSSOM IMAGES GIFT WRAP SET,1,2011-09-22 16:28:00,1.63,,United Kingdom
547387,22960,JAM MAKING SET WITH JARS,12,2011-03-22 16:00:00,3.75,12539.0,Spain
556813,22717,CARD DOG AND BALL ,1,2011-06-14 17:28:00,0.83,,United Kingdom
574673,21871,SAVE THE PLANET MUG,3,2011-11-06 12:26:00,1.65,15555.0,United Kingdom
545226,22870,NUMBER TILE COTTAGE GARDEN 2,8,2011-03-01 09:33:00,1.95,12428.0,Finland
573179,23555,LANDMARK FRAME NOTTING HILL ,24,2011-10-28 10:56:00,10.95,13199.0,United Kingdom
570465,22065,CHRISTMAS PUDDING TRINKET POT ,9,2011-10-10 16:02:00,1.63,,United Kingdom
560366,18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,6,2011-07-18 12:19:00,2.55,16859.0,United Kingdom
567618,22663,JUMBO BAG DOLLY GIRL DESIGN,10,2011-09-21 12:26:00,2.08,12721.0,France
538883,20615,BLUE POLKADOT PASSPORT COVER,1,2010-12-14 15:56:00,4.21,,United Kingdom
574356,84997b,CHILDRENS CUTLERY RETROSPOT RED ,7,2011-11-04 10:48:00,8.29,,United Kingdom
573171,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2011-10-28 10:00:00,2.95,14218.0,United Kingdom
576329,23012,GLASS APOTHECARY BOTTLE PERFUME,1,2011-11-14 15:22:00,8.29,,United Kingdom
561894,22350,ILLUSTRATED CAT BOWL ,1,2011-07-31 15:00:00,2.55,14456.0,United Kingdom
557311,21242,RED RETROSPOT PLATE ,12,2011-06-19 15:36:00,1.69,15700.0,United Kingdom
549524,22740,POLKADOT PEN,11,2011-04-08 15:42:00,1.63,,United Kingdom
572484,21123,SET/10 IVORY POLKADOT PARTY CANDLES,2,2011-10-24 13:50:00,1.25,17220.0,United Kingdom
548516,22156,HEART DECORATION WITH PEARLS ,1,2011-03-31 16:28:00,1.63,,United Kingdom
581129,23434,3 RAFFIA RIBBONS 50'S CHRISTMAS ,10,2011-12-07 12:48:00,0.79,15498.0,United Kingdom
547898,48111,DOORMAT 3 SMILEY CATS,4,2011-03-28 11:49:00,7.95,16523.0,United Kingdom
561036,22210,WOOD STAMP SET BEST WISHES,2,2011-07-24 11:54:00,0.83,13137.0,United Kingdom
561902,21260,FIRST AID TIN,48,2011-07-31 15:50:00,3.25,17404.0,Sweden
545895,21533,RETROSPOT LARGE MILK JUG,15,2011-03-07 17:14:00,9.96,,United Kingdom
569219,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,1,2011-10-02 13:01:00,2.89,13558.0,United Kingdom
570214,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,1,2011-10-09 11:50:00,0.85,12748.0,United Kingdom
560245,84879,ASSORTED COLOUR BIRD ORNAMENT,10,2011-07-17 12:15:00,1.69,,Switzerland
539453,75049L,LARGE CIRCULAR MIRROR MOBILE,2,2010-12-17 17:08:00,2.51,,United Kingdom
547567,48194,DOORMAT HEARTS,3,2011-03-24 09:44:00,7.95,17644.0,United Kingdom
541510,21034,REX CASH+CARRY JUMBO SHOPPER,2,2011-01-18 16:39:00,0.95,14428.0,United Kingdom
565287,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,2011-09-02 11:42:00,2.95,12483.0,Sweden
538884,21948,SET OF 6 CAKE CHOPSTICKS,4,2010-12-14 15:56:00,2.51,,United Kingdom
549449,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,2011-04-08 14:12:00,2.08,14227.0,United Kingdom
544337,84997D,PINK 3 PIECE POLKADOT CUTLERY SET,4,2011-02-18 08:34:00,4.15,13425.0,United Kingdom
555559,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16,2011-06-05 14:18:00,0.65,13862.0,United Kingdom
543549,21985,PACK OF 12 HEARTS DESIGN TISSUES ,1296,2011-02-10 09:29:00,0.22,17940.0,United Kingdom
541282,22845,VINTAGE CREAM CAT FOOD CONTAINER,2,2011-01-17 12:31:00,6.35,17690.0,United Kingdom
540848,84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,1,2011-01-12 09:26:00,3.36,,United Kingdom
537158,22659,LUNCH BOX I LOVE LONDON,2,2010-12-05 13:10:00,1.95,16393.0,United Kingdom
546406,22995,TRAVEL CARD WALLET SUKI,1,2011-03-11 16:21:00,0.83,,United Kingdom
548203,22680,FRENCH BLUE METAL DOOR SIGN 5,17,2011-03-29 16:40:00,2.95,,United Kingdom
580021,23207,LUNCH BAG ALPHABET DESIGN,10,2011-12-01 11:43:00,1.65,14047.0,United Kingdom
576650,23350,ROLL WRAP VINTAGE SPOT ,24,2011-11-16 10:34:00,1.25,14286.0,United Kingdom
579629,23191,BUNDLE OF 3 RETRO NOTE BOOKS,1,2011-11-30 12:16:00,1.65,14963.0,United Kingdom
562258,22418,10 COLOUR SPACEBOY PEN,12,2011-08-03 15:28:00,0.85,16348.0,United Kingdom
551854,23135,SMALL ZINC HEART WALL ORGANISER,4,2011-05-04 14:55:00,5.75,13576.0,United Kingdom
548148,21191,LARGE WHITE HONEYCOMB PAPER BELL  ,5,2011-03-29 12:31:00,2.1,17931.0,United Kingdom
550499,84836,ZINC METAL HEART DECORATION,1,2011-04-18 15:16:00,2.46,,United Kingdom
542625,21494,ROTATING LEAVES T-LIGHT HOLDER,1,2011-01-31 09:50:00,5.79,,United Kingdom
580135,23293,SET OF 12 FAIRY CAKE BAKING CASES,8,2011-12-01 19:33:00,0.83,14702.0,United Kingdom
541289,21260,FIRST AID TIN,1,2011-01-17 13:23:00,3.25,14606.0,United Kingdom
576651,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,4,2011-11-16 10:37:00,3.95,14626.0,United Kingdom
548191,79144B,PAINTED LIGHTBULB STAR+ MOON,2,2011-03-29 15:20:00,0.83,,United Kingdom
578084,22601,CHRISTMAS RETROSPOT ANGEL WOOD,12,2011-11-22 16:34:00,0.85,12465.0,Belgium
579512,23528,WALL ART SPACEBOY,1,2011-11-29 16:47:00,7.46,,United Kingdom
547035,22780,LIGHT GARLAND BUTTERFILES PINK,4,2011-03-20 10:33:00,4.25,13911.0,United Kingdom
567701,22210,WOOD STAMP SET BEST WISHES,24,2011-09-22 09:36:00,0.83,17172.0,United Kingdom
562928,22996,TRAVEL CARD WALLET VINTAGE TICKET,24,2011-08-10 15:29:00,0.42,15494.0,United Kingdom
560692,23321,SMALL WHITE HEART OF WICKER,1,2011-07-20 12:01:00,1.65,14704.0,United Kingdom
580127,22065,CHRISTMAS PUDDING TRINKET POT ,48,2011-12-01 17:51:00,0.39,14911.0,EIRE
544776,22625,RED KITCHEN SCALES,3,2011-02-23 11:39:00,16.63,,United Kingdom
578926,84375,SET OF 20 KIDS COOKIE CUTTERS,12,2011-11-27 12:24:00,2.1,18156.0,United Kingdom
558030,23175,REGENCY MILK JUG PINK ,4,2011-06-24 12:00:00,3.25,16419.0,United Kingdom
563557,23032,DRAWER KNOB CRACKLE GLAZE IVORY,24,2011-08-17 13:33:00,1.65,15786.0,United Kingdom
544905,22487,WHITE WOOD GARDEN PLANT LADDER,1,2011-02-24 13:54:00,9.95,17117.0,United Kingdom
564647,22453,MEASURING TAPE BABUSHKA BLUE,1,2011-08-26 13:56:00,2.95,17920.0,United Kingdom
557619,21094,SET/6 RED SPOTTY PAPER PLATES,6,2011-06-21 13:58:00,0.85,17757.0,United Kingdom
569943,20972,PINK CREAM FELT CRAFT TRINKET BOX ,1,2011-10-06 18:08:00,1.25,14592.0,United Kingdom
540681,22222,CAKE PLATE LOVEBIRD WHITE,6,2011-01-10 16:25:00,4.21,,United Kingdom
C560409,22897,OVEN MITT APPLES DESIGN,-10,2011-07-18 14:24:00,1.45,16717.0,United Kingdom
576077,22851,SET 20 NAPKINS FAIRY CAKES DESIGN ,1,2011-11-13 16:22:00,0.85,16720.0,United Kingdom
549577,22333,RETROSPOT PARTY BAG + STICKER SET,8,2011-04-11 08:16:00,1.65,14286.0,United Kingdom
568686,23293,SET OF 12 FAIRY CAKE BAKING CASES,16,2011-09-28 14:26:00,0.83,16115.0,United Kingdom
574311,22629,SPACEBOY LUNCH BOX ,6,2011-11-03 16:56:00,1.95,15640.0,United Kingdom
552249,23199,JUMBO BAG APPLES,1,2011-05-06 19:53:00,2.08,12748.0,United Kingdom
555415,22178,VICTORIAN GLASS HANGING T-LIGHT,60,2011-06-03 10:08:00,1.25,14500.0,United Kingdom
581376,22556,PLASTERS IN TIN CIRCUS PARADE ,6,2011-12-08 12:43:00,1.65,14719.0,United Kingdom
567670,22342,HOME GARLAND PAINTED ZINC ,1,2011-09-21 15:32:00,3.29,,United Kingdom
566446,23316,RED REFECTORY CLOCK ,1,2011-09-12 15:40:00,19.96,,United Kingdom
571746,22425,ENAMEL COLANDER CREAM,3,2011-10-19 10:56:00,4.95,17043.0,United Kingdom
564647,23327,HANGING CLEAR MINI BOTTLE,3,2011-08-26 13:56:00,0.63,17920.0,United Kingdom
572923,22492,MINI PAINT SET VINTAGE ,36,2011-10-27 08:35:00,0.65,15948.0,United Kingdom
566539,23389,SPACEBOY MINI BACKPACK,2,2011-09-13 11:34:00,4.15,17228.0,United Kingdom
542849,22852,DOG BOWL VINTAGE CREAM,3,2011-02-01 11:35:00,4.25,,United Kingdom
540477,85034C,3 ROSE MORRIS BOXED CANDLES,12,2011-01-07 14:49:00,1.25,13233.0,United Kingdom
580640,22077,6 RIBBONS RUSTIC CHARM,1,2011-12-05 12:51:00,1.95,16910.0,United Kingdom
563023,23321,SMALL WHITE HEART OF WICKER,12,2011-08-11 13:39:00,1.65,14639.0,United Kingdom
576665,23348,CHILDRENS TOY COOKING UTENSIL SET,6,2011-11-16 11:46:00,2.08,17841.0,United Kingdom
572302,22683,FRENCH BLUE METAL DOOR SIGN 8,1,2011-10-23 14:47:00,1.25,15427.0,United Kingdom
569224,21481,FAWN BLUE HOT WATER BOTTLE,1,2011-10-02 14:00:00,3.75,15701.0,United Kingdom
537065,22727,ALARM CLOCK BAKELIKE RED ,4,2010-12-05 11:57:00,3.75,12567.0,France
550193,21217,RED RETROSPOT ROUND CAKE TINS,4,2011-04-15 09:27:00,9.95,13952.0,United Kingdom
554694,23108,SET OF 10 LED DOLLY LIGHTS,1,2011-05-25 17:06:00,12.46,,United Kingdom
541848,21830,ASSORTED CREEPY CRAWLIES,24,2011-01-23 13:31:00,0.42,17611.0,United Kingdom
559923,20761,BLUE PAISLEY SKETCHBOOK,1,2011-07-13 16:07:00,7.46,,United Kingdom
568152,20726,LUNCH BAG WOODLAND,1,2011-09-25 11:40:00,1.65,16480.0,United Kingdom
556197,23215,JINGLE BELL HEART ANTIQUE SILVER,12,2011-06-09 12:27:00,2.08,18065.0,United Kingdom
567183,23221,REINDEER HEART DECORATION SILVER,48,2011-09-18 15:32:00,0.83,14769.0,United Kingdom
555520,23103,JINGLE BELL HEART DECORATION,1,2011-06-05 11:14:00,1.65,15038.0,United Kingdom
581439,22085,PAPER CHAIN KIT SKULLS ,3,2011-12-08 16:30:00,5.79,,United Kingdom
566264,22445,PENCIL CASE LIFE IS BEAUTIFUL,1,2011-09-11 13:07:00,2.95,14606.0,United Kingdom
549577,10125,MINI FUNKY DESIGN TAPES,20,2011-04-11 08:16:00,0.85,14286.0,United Kingdom
570840,21135,VICTORIAN  METAL POSTCARD SPRING,8,2011-10-12 14:10:00,1.69,13468.0,United Kingdom
571716,21224,SET/4 SKULL BADGES,1,2011-10-18 17:05:00,0.83,,United Kingdom
575587,37413,ICON MUG REVOLUTIONARY,6,2011-11-10 12:01:00,0.39,17461.0,United Kingdom
564135,21668,RED STRIPE CERAMIC DRAWER KNOB,12,2011-08-23 11:12:00,1.25,16550.0,United Kingdom
548326,85078,SCANDINAVIAN 3 HEARTS NAPKIN RING,24,2011-03-30 13:02:00,0.19,15424.0,United Kingdom
552703,21900,"KEY FOB , SHED",2,2011-05-10 16:00:00,0.65,14462.0,United Kingdom
562213,22951,60 CAKE CASES DOLLY GIRL DESIGN,6,2011-08-03 13:39:00,0.55,13975.0,United Kingdom
555565,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6,2011-06-05 15:06:00,2.95,15298.0,United Kingdom
556953,23245,SET OF 3 REGENCY CAKE TINS,4,2011-06-16 08:16:00,4.95,14911.0,EIRE
543985,85150,LADIES & GENTLEMEN METAL SIGN,1,2011-02-15 09:44:00,4.79,,United Kingdom
549304,23177,TREASURE ISLAND BOOK BOX,8,2011-04-08 08:39:00,2.25,16133.0,United Kingdom
562934,21884,CAKES AND BOWS GIFT  TAPE,1,2011-08-10 16:56:00,1.63,,United Kingdom
571508,21028,NINJA RABBIT BLACK,1,2011-10-17 15:27:00,2.46,,United Kingdom
553211,22934,BAKING MOULD EASTER EGG WHITE CHOC,6,2011-05-16 09:40:00,2.95,15358.0,United Kingdom
556259,22711,WRAP CIRCUS PARADE,25,2011-06-09 17:53:00,0.42,12721.0,France
575930,16237,SLEEPING CAT ERASERS,6,2011-11-11 17:58:00,0.42,,United Kingdom
536876,20712,JUMBO BAG WOODLAND ANIMALS,1,2010-12-03 11:36:00,4.21,,United Kingdom
552965,22088,PAPER BUNTING COLOURED LACE,6,2011-05-12 13:10:00,2.95,13477.0,United Kingdom
566914,23300,GARDENERS KNEELING PAD CUP OF TEA ,3,2011-09-15 14:08:00,1.65,15466.0,United Kingdom
577531,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,2,2011-11-20 13:58:00,8.29,,United Kingdom
568567,22331,WOODLAND PARTY BAG + STICKER SET,2,2011-09-27 18:41:00,3.29,,United Kingdom
